タイトル,著者名,登録日,年月,冊数,ページ数,本詳細ページ
"ナベリウス封印美術館の蒐集士<コレクター> …","手島 史詞",2017/01/28,201701,7,392,https://bookmeter.com/books/11250404
"あの蝶は、蝶に似ている (河出文庫)","藤沢 周",2017/01/27,201701,7,161,https://bookmeter.com/books/11298494
"首折り男のための協奏曲","伊坂 幸太郎",2017/01/23,201701,7,315,https://bookmeter.com/books/7862253
"やがて恋するヴィヴィ・レイン 2 (ガガガ文…","犬村 小六",2017/01/21,201701,7,331,https://bookmeter.com/books/11271750
"境界探偵モンストルム2 (Novel 0)","十文字 青",2017/01/18,201701,7,324,https://bookmeter.com/books/11302010
"なれる!SE15 疾風怒濤?社内競合 (電撃…","夏海 公司",2017/01/10,201701,7,248,https://bookmeter.com/books/11259999
"異世界居酒屋「のぶ」二杯目 (宝島社文庫)","蝉川 夏哉",2017/01/07,201701,7,358,https://bookmeter.com/books/11241945
"Hello,light. ~loundraw…","loundraw",2016/12/30,201612,15,120,https://bookmeter.com/books/11264605
"緋弾のアリアXXIV 狂逸の同窓会 (MF文…","赤松 中学",2016/12/23,201612,15,264,https://bookmeter.com/books/11247690
"タイムカプセル浪漫紀行 (メディアワークス文…","松山 剛",2016/12/23,201612,15,274,https://bookmeter.com/books/11241472
"黒豚姫の神隠し (ハヤカワ文庫JA)","カミツキレイニー",2016/12/22,201612,15,272,https://bookmeter.com/books/11252037
"戦闘妖精・雪風(改) (ハヤカワ文庫JA)","神林 長平",2016/12/21,201612,15,413,https://bookmeter.com/books/573642
"魔女の旅々 3 (GAノベル)","白石 定規",2016/12/17,201612,15,344,https://bookmeter.com/books/11199917
"悪逆騎士団 そのエルフ、凶暴につき (電撃文…","水瀬 葉月",2016/12/11,201612,15,328,https://bookmeter.com/books/11235086
"魔法少女育成計画 QUEENS (このライト…","遠藤 浅蜊",2016/12/11,201612,15,0,https://bookmeter.com/books/11240663
"よるのばけもの","住野 よる",2016/12/10,201612,15,256,https://bookmeter.com/books/11250562
"ユナイテッド・ステイツ・オブ・ジャパン 下 …","ピーター トライアス",2016/12/07,201612,15,288,https://bookmeter.com/books/11182635
"ユナイテッド・ステイツ・オブ・ジャパン 上 …","ピーター トライアス",2016/12/05,201612,15,320,https://bookmeter.com/books/11182220
"僕は君を殺せない (集英社オレンジ文庫)","長谷川 夕",2016/12/03,201612,15,256,https://bookmeter.com/books/10032043
"これは経費で落ちません!  ~経理部の森若さ…","青木 祐子",2016/12/03,201612,15,256,https://bookmeter.com/books/10910451
"GONE ゴーン II 飢餓 下 (ハーパー…","マイケル グラント",2016/12/02,201612,15,333,https://bookmeter.com/books/11214628
"GONE ゴーン II 飢餓 上 (ハーパー…","マイケル グラント",2016/12/01,201612,15,318,https://bookmeter.com/books/11214461
"LOST 失覚探偵 (上) (講談社タイガ)","周木 律",2016/11/26,201611,12,288,https://bookmeter.com/books/11190091
"エイルン・ラストコード ~架空世界より戦場へ…","東 龍乃助",2016/11/26,201611,12,328,https://bookmeter.com/books/11206942
"夜葬 (角川ホラー文庫)","最東 対地",2016/11/26,201611,12,288,https://bookmeter.com/books/11174216
"「英雄」解体 (講談社BOX)","小山 恭平,風乃",2016/11/26,201611,12,232,https://bookmeter.com/books/11237895
"カタナなでしこ (講談社タイガ)","榊 一郎",2016/11/25,201611,12,368,https://bookmeter.com/books/10102756
"探偵少女アリサの事件簿 溝ノ口より愛をこめて","東川 篤哉",2016/11/24,201611,12,301,https://bookmeter.com/books/8985185
"妖姫のおとむらい (ガガガ文庫)","希",2016/11/23,201611,12,277,https://bookmeter.com/books/11180661
"ふたり狂い (幻冬舎文庫)","真梨 幸子",2016/11/21,201611,12,377,https://bookmeter.com/books/11182461
"七日の喰い神 4 (ガガガ文庫)","カミツキレイニー",2016/11/19,201611,12,376,https://bookmeter.com/books/11214714
"天球駆けるスプートニク 未到の空往く運送屋、…","ツカサ",2016/11/15,201611,12,290,https://bookmeter.com/books/11202272
"優しい死神の飼い方 (光文社文庫)","知念 実希人",2016/11/12,201611,12,441,https://bookmeter.com/books/10989701
"ジャバウォック 真田邪忍帖 (Novel 0)","友野 詳",2016/11/03,201611,12,324,https://bookmeter.com/books/11165913
"図書館の魔女 第四巻 (講談社文庫)","高田 大介",2016/10/24,201610,5,656,https://bookmeter.com/books/10894381
"魔法少女育成計画 16人の日常 (このライト…","遠藤 浅蜊",2016/10/22,201610,5,286,https://bookmeter.com/books/11179888
"熾界龍皇と極東の七柱特区 5 (ガガガ文庫)","ツカサ",2016/10/19,201610,5,261,https://bookmeter.com/books/11180665
"バビロン 2 ―死― (講談社タイガ)","野崎 まど",2016/10/18,201610,5,320,https://bookmeter.com/books/11036717
"バビロン 1 ―女― (講談社タイガ)","野崎 まど",2016/10/07,201610,5,320,https://bookmeter.com/books/9847741
"撃鉄の心臓 (Novel 0)","てにをは",2016/09/26,201609,10,451,https://bookmeter.com/books/11087559
"恋する寄生虫 (メディアワークス文庫)","三秋縋",2016/09/24,201609,10,322,https://bookmeter.com/books/11129908
"やがて恋するヴィヴィ・レイン 1 (ガガガ文…","犬村 小六",2016/09/22,201609,10,386,https://bookmeter.com/books/11127897
"異世界居酒屋「のぶ」 (宝島社文庫)","蝉川 夏哉",2016/09/19,201609,10,346,https://bookmeter.com/books/11096111
"七日間の幽霊、八日目の彼女 (メディアワーク…","五十嵐雄策",2016/09/18,201609,10,274,https://bookmeter.com/books/11097450
"いもーとらいふ (下) (電撃文庫)","入間人間",2016/09/17,201609,10,232,https://bookmeter.com/books/11173958
"魔法医師の診療記録 4 (ガガガ文庫)","手代木 正太郎",2016/09/17,201609,10,376,https://bookmeter.com/books/11127896
"ディメンタルマン ロイドのカルテ (Nove…","サイトウ ケンジ",2016/09/17,201609,10,328,https://bookmeter.com/books/11127660
"魔法使いと僕1 (オーバーラップ文庫)","十文字青",2016/09/03,201609,10,314,https://bookmeter.com/books/11096012
"ゴースト・ギャロップ ‐蒼空の幽霊機‐ (N…","富永 浩史",2016/09/01,201609,10,357,https://bookmeter.com/books/11087377
"灰と幻想のグリムガル level.9 ここに…","十文字青",2016/08/25,201608,7,251,https://bookmeter.com/books/11096013
"緋弾のアリアXXIII 不可知の銃弾 (MF…","赤松 中学",2016/08/24,201608,7,296,https://bookmeter.com/books/11096985
"魔獣調教師ツカイ・J・マクラウドの事件録 獣…","綾里 けいし",2016/08/22,201608,7,313,https://bookmeter.com/books/11041720
"食せよ我が心と異形は言う (2) (Nove…","縹けいか",2016/08/15,201608,7,328,https://bookmeter.com/books/11083329
"図書館の魔女 第三巻 (講談社文庫)","高田 大介",2016/08/15,201608,7,384,https://bookmeter.com/books/10894380
"ヒイラギエイク (ガガガ文庫)","海津 ゆたか",2016/08/03,201608,7,322,https://bookmeter.com/books/11060277
"銃皇無尽のファフニール12 ダークネス・ディ…","ツカサ",2016/08/02,201608,7,264,https://bookmeter.com/books/11090520
"妄想少女の観測する世壊 (MF文庫J)","二階堂紘嗣",2016/07/31,201607,12,295,https://bookmeter.com/books/11059294
"図書館の魔女 第二巻 (講談社文庫)","高田 大介",2016/07/28,201607,12,464,https://bookmeter.com/books/10787672
"いもーとらいふ (上) (電撃文庫)","入間人間",2016/07/17,201607,12,296,https://bookmeter.com/books/11089506
"魔女の旅々 2 (GAノベル)","白石 定規",2016/07/17,201607,12,320,https://bookmeter.com/books/11028591
"風見夜子の死体見聞 (富士見L文庫)","半田 畔",2016/07/17,201607,12,254,https://bookmeter.com/books/11024684
"君を愛したひとりの僕へ (ハヤカワ文庫 JA…","乙野四方字",2016/07/13,201607,12,253,https://bookmeter.com/books/11053484
"僕が愛したすべての君へ (ハヤカワ文庫 JA…","乙野四方字",2016/07/13,201607,12,253,https://bookmeter.com/books/11053485
"記憶屋III (角川ホラー文庫)","織守きょうや",2016/07/10,201607,12,237,https://bookmeter.com/books/11031414
"記憶屋II (角川ホラー文庫)","織守きょうや",2016/07/10,201607,12,256,https://bookmeter.com/books/10926405
"幻獣調査員 (ファミ通文庫)","綾里 けいし",2016/07/09,201607,12,284,https://bookmeter.com/books/11028754
"Another エピソードS (角川文庫)","綾辻 行人",2016/07/09,201607,12,332,https://bookmeter.com/books/10877239
"図書館の魔女 第一巻 (講談社文庫)","高田 大介",2016/07/01,201607,12,368,https://bookmeter.com/books/10784510
"筺底のエルピス 4 -廃棄未来- (ガガガ文…","オキシ タケヒコ",2016/06/19,201606,5,500,https://bookmeter.com/books/10996942
"不戦無敵の影殺師 7 (ガガガ文庫)","森田 季節",2016/06/18,201606,5,255,https://bookmeter.com/books/11013051
"GONE ゴーン 下 (ハーパーBOOKS)","マイケル グラント",2016/06/12,201606,5,336,https://bookmeter.com/books/10784118
"GONE ゴーン 上 (ハーパーBOOKS)","マイケル グラント",2016/06/11,201606,5,336,https://bookmeter.com/books/10790458
"個人と国家 人魔調停局 捜査File.02 …","扇 友太",2016/06/09,201606,5,423,https://bookmeter.com/books/10878413
"デッドエンド 死に戻りの剣客 (メディアワー…","入間人間",2016/05/28,201605,15,274,https://bookmeter.com/books/10896601
"異世界作家生活 女騎士さんと始めるものかきス…","森田 季節",2016/05/28,201605,15,272,https://bookmeter.com/books/10895900
"今からあなたを脅迫します (講談社タイガ)","藤石 波矢",2016/05/28,201605,15,320,https://bookmeter.com/books/10694285
"殺人探偵・天刀狼真 (ダッシュエックス文庫)","神高 槍矢",2016/05/26,201605,15,320,https://bookmeter.com/books/10898631
"エイルン・ラストコード 〜架空世界より戦場へ…","東 龍乃助",2016/05/24,201605,15,323,https://bookmeter.com/books/10888019
"ふあゆ (ガガガ文庫)","今慈 ムジナ",2016/05/20,201605,15,294,https://bookmeter.com/books/10886607
"ファンタジスタドール イヴ (ハヤカワ文庫J…","野崎まど",2016/05/19,201605,15,169,https://bookmeter.com/books/7324376
"七日の喰い神 3 (ガガガ文庫)","カミツキレイニー",2016/05/18,201605,15,312,https://bookmeter.com/books/10886454
"空き家課まぼろし譚 (講談社文庫)","ほしお さなえ",2016/05/17,201605,15,400,https://bookmeter.com/books/10789265
"先生、大事なものが盗まれました (講談社タイ…","北山 猛邦",2016/05/11,201605,15,272,https://bookmeter.com/books/10770077
"また、同じ夢を見ていた","住野 よる",2016/05/07,201605,15,264,https://bookmeter.com/books/10284700
"生存賭博 (新潮文庫nex)","吉上 亮",2016/05/05,201605,15,366,https://bookmeter.com/books/10874097
"君の膵臓をたべたい","住野 よる",2016/05/02,201605,15,288,https://bookmeter.com/books/9743485
"卯月の雪のレター・レター (創元推理文庫)","相沢 沙呼",2016/05/02,201605,15,293,https://bookmeter.com/books/10433133
"死んでも死んでも死んでも死んでも好きになると…","斧名田マニマニ",2016/05/01,201605,15,240,https://bookmeter.com/books/10769004
"トリモノート (新潮文庫nex)","森川 智喜",2016/04/27,201604,17,262,https://bookmeter.com/books/10750969
"異世界拷問姫 (MF文庫J)","綾里 けいし",2016/04/24,201604,17,294,https://bookmeter.com/books/10749017
"魔女の旅々 (GAノベル)","白石 定規",2016/04/24,201604,17,344,https://bookmeter.com/books/10620578
"僕が電話をかけていた場所 (メディアワークス…","三秋縋",2016/04/23,201604,17,274,https://bookmeter.com/books/9844533
"君が電話をかけていた場所 (メディアワークス…","三秋縋",2016/04/23,201604,17,289,https://bookmeter.com/books/9809027
"てらめぐりぶ? (ホワイトブックス)","森田 季節",2016/04/23,201604,17,238,https://bookmeter.com/books/10916917
"緋弾のアリア (22) 彗星よ白昼夢に眠れ …","赤松 中学",2016/04/23,201604,17,296,https://bookmeter.com/books/10755721
"いたいのいたいの、とんでゆけ (メディアワー…","三秋縋",2016/04/18,201604,17,370,https://bookmeter.com/books/8651042
"スターティング・オーヴァー (メディアワーク…","三秋縋",2016/04/17,201604,17,242,https://bookmeter.com/books/7143428
"伊達エルフ政宗 (GA文庫)","森田 季節",2016/04/16,201604,17,304,https://bookmeter.com/books/10380942
"東京異界のバリスタ 2 (GA文庫)","手島 史詞",2016/04/15,201604,17,344,https://bookmeter.com/books/10681615
"記憶屋 (角川ホラー文庫)","織守きょうや",2016/04/14,201604,17,302,https://bookmeter.com/books/9851056
"官能と少女","宮木 あや子",2016/04/13,201604,17,216,https://bookmeter.com/books/5185478
"魔法少女育成計画 episodesΦ(エピソ…","遠藤 浅蜊",2016/04/09,201604,17,284,https://bookmeter.com/books/10775362
"恋する殺人オーディション (メディアワークス…","御影瑛路",2016/04/09,201604,17,322,https://bookmeter.com/books/10647460
"黒猫とさよならの旅 (スターツ出版文庫)","櫻いいよ",2016/04/04,201604,17,285,https://bookmeter.com/books/10774684
"銃皇無尽のファフニール11 プリズマティック…","ツカサ",2016/04/01,201604,17,264,https://bookmeter.com/books/10736734
"残り全部バケーション (集英社文庫)","伊坂 幸太郎",2016/03/28,201603,18,302,https://bookmeter.com/books/10032308
"天空の蜂 (講談社文庫)","東野 圭吾",2016/03/25,201603,18,634,https://bookmeter.com/books/581058
"灰と幻想のグリムガル level.8 そして…","十文字青",2016/03/24,201603,18,315,https://bookmeter.com/books/10769489
"筺底のエルピス 3 -狩人のサーカス- (ガ…","オキシ タケヒコ",2016/03/18,201603,18,312,https://bookmeter.com/books/10519547
"熾界龍皇と極東の七柱特区 4 (ガガガ文庫)","ツカサ",2016/03/18,201603,18,244,https://bookmeter.com/books/10519546
"江ノ島西浦写真館","三上 延",2016/03/18,201603,18,228,https://bookmeter.com/books/10118863
"Slave†Money (Novel 0)","鳳乃 一真",2016/03/17,201603,18,446,https://bookmeter.com/books/10614779
"食せよ我が心と異形は言う (Novel 0)","縹けいか",2016/03/16,201603,18,455,https://bookmeter.com/books/10610780
"境界探偵モンストルム (Novel 0)","十文字 青",2016/03/15,201603,18,319,https://bookmeter.com/books/10608776
"新装版 虚無への供物(下) (講談社文庫)","中井 英夫",2016/03/13,201603,18,480,https://bookmeter.com/books/515248
"ＵＮ－ＧＯ　因果論 (ハヤカワ文庫JA)","會川　昇",2016/03/05,201603,18,395,https://bookmeter.com/books/4651518
"灰と幻想のグリムガル level.7 彼方の…","十文字青",2016/03/04,201603,18,347,https://bookmeter.com/books/10123214
"灰と幻想のグリムガル level.6 とるに…","十文字青",2016/03/04,201603,18,317,https://bookmeter.com/books/9890531
"灰と幻想のグリムガル level.5 笑わな…","十文字青",2016/03/03,201603,18,254,https://bookmeter.com/books/9370519
